Question,Segment Type,Segment Description,Answer,Count,Percentage
What social platform has influenced your online shopping most?,University,University of Iowa,Facebook,0,0.0
What social platform has influenced your online shopping most?,University,University of Iowa,Instagram,0,0.0
What social platform has influenced your online shopping most?,University,University of Iowa,Snapchat,0,0.0
What social platform has influenced your online shopping most?,University,University of Iowa,Twitter,1,1.0
What social platform has influenced your online shopping most?,University,University of Iowa,None,0,0.0
What social platform has influenced your online shopping most?,University,University of California Irvine,Facebook,0,0.0
What social platform has influenced your online shopping most?,University,University of California Irvine,Instagram,1,0.5
What social platform has influenced your online shopping most?,University,University of California Irvine,Snapchat,0,0.0
What social platform has influenced your online shopping most?,University,University of California Irvine,Twitter,0,0.0
What social platform has influenced your online shopping most?,University,University of California Irvine,None,1,0.5
What social platform has influenced your online shopping most?,University,"University of California, Davis",Facebook,0,0.0
What social platform has influenced your online shopping most?,University,"University of California, Davis",Instagram,0,0.0
What social platform has influenced your online shopping most?,University,"University of California, Davis",Snapchat,0,0.0
What social platform has influenced your online shopping most?,University,"University of California, Davis",Twitter,0,0.0
What social platform has influenced your online shopping most?,University,"University of California, Davis",None,2,1.0
What social platform has influenced your online shopping most?,University,University of Waterloo,Facebook,0,0.0
What social platform has influenced your online shopping most?,University,University of Waterloo,Instagram,1,0.5
What social platform has influenced your online shopping most?,University,University of Waterloo,Snapchat,0,0.0
What social platform has influenced your online shopping most?,University,University of Waterloo,Twitter,0,0.0
What social platform has influenced your online shopping most?,University,University of Waterloo,None,1,0.5
What social platform has influenced your online shopping most?,University,Grand Valley State University,Facebook,0,0.0
What social platform has influenced your online shopping most?,University,Grand Valley State University,Instagram,0,0.0
What social platform has influenced your online shopping most?,University,Grand Valley State University,Snapchat,0,0.0
What social platform has influenced your online shopping most?,University,Grand Valley State University,Twitter,0,0.0
What social platform has influenced your online shopping most?,University,Grand Valley State University,None,1,1.0
What social platform has influenced your online shopping most?,University,Baylor University,Facebook,0,0.0
What social platform has influenced your online shopping most?,University,Baylor University,Instagram,0,0.0
What social platform has influenced your online shopping most?,University,Baylor University,Snapchat,0,0.0
What social platform has influenced your online shopping most?,University,Baylor University,Twitter,0,0.0
What social platform has influenced your online shopping most?,University,Baylor University,None,1,1.0
What social platform has influenced your online shopping most?,University,Southern Methodist University,Facebook,3,0.214
What social platform has influenced your online shopping most?,University,Southern Methodist University,Instagram,3,0.214
What social platform has influenced your online shopping most?,University,Southern Methodist University,Snapchat,1,0.071
What social platform has influenced your online shopping most?,University,Southern Methodist University,Twitter,0,0.0
What social platform has influenced your online shopping most?,University,Southern Methodist University,None,7,0.5
What social platform has influenced your online shopping most?,University,Blinn College,Facebook,1,1.0
What social platform has influenced your online shopping most?,University,Blinn College,Instagram,0,0.0
What social platform has influenced your online shopping most?,University,Blinn College,Snapchat,0,0.0
What social platform has influenced your online shopping most?,University,Blinn College,Twitter,0,0.0
What social platform has influenced your online shopping most?,University,Blinn College,None,0,0.0
What social platform has influenced your online shopping most?,University,Texas A&M University,Facebook,7,0.2
What social platform has influenced your online shopping most?,University,Texas A&M University,Instagram,11,0.314
What social platform has influenced your online shopping most?,University,Texas A&M University,Snapchat,4,0.114
What social platform has influenced your online shopping most?,University,Texas A&M University,Twitter,3,0.086
What social platform has influenced your online shopping most?,University,Texas A&M University,None,10,0.286
What social platform has influenced your online shopping most?,University,Wellesley College,Facebook,0,0.0
What social platform has influenced your online shopping most?,University,Wellesley College,Instagram,0,0.0
What social platform has influenced your online shopping most?,University,Wellesley College,Snapchat,0,0.0
What social platform has influenced your online shopping most?,University,Wellesley College,Twitter,0,0.0
What social platform has influenced your online shopping most?,University,Wellesley College,None,1,1.0
What social platform has influenced your online shopping most?,University,Central Washington University,Facebook,0,0.0
What social platform has influenced your online shopping most?,University,Central Washington University,Instagram,1,1.0
What social platform has influenced your online shopping most?,University,Central Washington University,Snapchat,0,0.0
What social platform has influenced your online shopping most?,University,Central Washington University,Twitter,0,0.0
What social platform has influenced your online shopping most?,University,Central Washington University,None,0,0.0
What social platform has influenced your online shopping most?,University,Stellenbosch University,Facebook,1,0.5
What social platform has influenced your online shopping most?,University,Stellenbosch University,Instagram,0,0.0
What social platform has influenced your online shopping most?,University,Stellenbosch University,Snapchat,0,0.0
What social platform has influenced your online shopping most?,University,Stellenbosch University,Twitter,0,0.0
What social platform has influenced your online shopping most?,University,Stellenbosch University,None,1,0.5
What social platform has influenced your online shopping most?,University,Universidad Nacional de Costa Rica,Facebook,0,0.0
What social platform has influenced your online shopping most?,University,Universidad Nacional de Costa Rica,Instagram,0,0.0
What social platform has influenced your online shopping most?,University,Universidad Nacional de Costa Rica,Snapchat,0,0.0
What social platform has influenced your online shopping most?,University,Universidad Nacional de Costa Rica,Twitter,0,0.0
What social platform has influenced your online shopping most?,University,Universidad Nacional de Costa Rica,None,1,1.0
What social platform has influenced your online shopping most?,University,Kennesaw State University,Facebook,0,0.0
What social platform has influenced your online shopping most?,University,Kennesaw State University,Instagram,1,1.0
What social platform has influenced your online shopping most?,University,Kennesaw State University,Snapchat,0,0.0
What social platform has influenced your online shopping most?,University,Kennesaw State University,Twitter,0,0.0
What social platform has influenced your online shopping most?,University,Kennesaw State University,None,0,0.0
What social platform has influenced your online shopping most?,University,Newcastle University,Facebook,0,0.0
What social platform has influenced your online shopping most?,University,Newcastle University,Instagram,1,1.0
What social platform has influenced your online shopping most?,University,Newcastle University,Snapchat,0,0.0
What social platform has influenced your online shopping most?,University,Newcastle University,Twitter,0,0.0
What social platform has influenced your online shopping most?,University,Newcastle University,None,0,0.0
What social platform has influenced your online shopping most?,University,University of West Georgia ,Facebook,1,1.0
What social platform has influenced your online shopping most?,University,University of West Georgia ,Instagram,0,0.0
What social platform has influenced your online shopping most?,University,University of West Georgia ,Snapchat,0,0.0
What social platform has influenced your online shopping most?,University,University of West Georgia ,Twitter,0,0.0
What social platform has influenced your online shopping most?,University,University of West Georgia ,None,0,0.0
What social platform has influenced your online shopping most?,University,Azusa Pacific University,Facebook,0,0.0
What social platform has influenced your online shopping most?,University,Azusa Pacific University,Instagram,1,1.0
What social platform has influenced your online shopping most?,University,Azusa Pacific University,Snapchat,0,0.0
What social platform has influenced your online shopping most?,University,Azusa Pacific University,Twitter,0,0.0
What social platform has influenced your online shopping most?,University,Azusa Pacific University,None,0,0.0
What social platform has influenced your online shopping most?,University,University of Connecticut,Facebook,1,1.0
What social platform has influenced your online shopping most?,University,University of Connecticut,Instagram,0,0.0
What social platform has influenced your online shopping most?,University,University of Connecticut,Snapchat,0,0.0
What social platform has influenced your online shopping most?,University,University of Connecticut,Twitter,0,0.0
What social platform has influenced your online shopping most?,University,University of Connecticut,None,0,0.0
What social platform has influenced your online shopping most?,University,Boston University,Facebook,0,0.0
What social platform has influenced your online shopping most?,University,Boston University,Instagram,1,1.0
What social platform has influenced your online shopping most?,University,Boston University,Snapchat,0,0.0
What social platform has influenced your online shopping most?,University,Boston University,Twitter,0,0.0
What social platform has influenced your online shopping most?,University,Boston University,None,0,0.0
What social platform has influenced your online shopping most?,University,Colorado State University,Facebook,0,0.0
